#Organism Group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Acinetobacter baumannii	UH293_412	"ABUH_SP_0098","UH293_412"		PDT000046693.3	2015-08-11T17:31:54Z	USA	bodily fluid	clinical	PDS000074246.29	3	24	SAMN03084823	GCA_000809765.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH129_415	"ABUH_SP_0099","UH129_415"		PDT000046694.3	2015-08-06T17:31:06Z	USA	bodily fluid	clinical	PDS000074246.29	4	26	SAMN03084824	GCA_000809785.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH81_452	"ABUH_SP_0110","UH81_452"		PDT000046702.3	2015-08-10T23:32:32Z	USA	bodily fluid	clinical	PDS000074246.29	3	25	SAMN03084835	GCA_000809985.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH71_277	"ABUH_SP_0066","UH71_277"		PDT000046710.3	2015-08-10T22:08:27Z	USA	bodily fluid	clinical	PDS000074246.29	0	18	SAMN03084791	GCA_000810145.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH71_278	"ABUH_SP_0067","UH71_278"		PDT000046711.3	2015-08-10T23:31:50Z	USA	bodily fluid	clinical	PDS000074246.29	1	20	SAMN03084792	GCA_000810165.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH71_279	"ABUH_SP_0068","UH71_279"		PDT000046712.3	2015-08-11T18:05:33Z	USA	bodily fluid	clinical	PDS000074246.29	0	18	SAMN03084793	GCA_000810185.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH299_338	"ABUH_SP_0080","UH299_338"		PDT000046715.3	2015-08-07T17:06:37Z	USA	bodily fluid	clinical	PDS000074246.29	5	26	SAMN03084805	GCA_000810245.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH299_341	"ABUH_SP_0081","UH299_341"		PDT000046716.3	2015-08-07T17:06:36Z	USA	Tissues	clinical	PDS000074246.29	13	22	SAMN03084806	GCA_000810265.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH299_342	"ABUH_SP_0082","UH299_342"		PDT000046717.3	2015-08-07T17:07:08Z	USA	bodily fluid	clinical	PDS000074246.29	8	17	SAMN03084807	GCA_000810285.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH81_366	"ABUH_SP_0088","UH81_366"		PDT000046722.3	2015-08-10T23:32:33Z	USA	bodily fluid	clinical	PDS000074246.29	0	21	SAMN03084813	GCA_000810385.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH81_389	"ABUH_SP_0093","UH81_389"		PDT000046723.3	2015-08-10T23:32:29Z	USA	bodily fluid	clinical	PDS000074246.29	3	24	SAMN03084818	GCA_000810405.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH293_377	"ABUH_SP_0090","UH293_377"		PDT000046725.3	2015-08-07T16:34:02Z	USA	bodily fluid	clinical	PDS000074246.29	3	23	SAMN03084815	GCA_000810445.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH243_14	"ABUH_SP_0003","UH243_14"		PDT000046728.3	2015-08-07T16:01:43Z	USA	bodily fluid	clinical	PDS000074246.29	2	14	SAMN03084728	GCA_000810505.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=PARTIAL_END_OF_CONTIG,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH243_33	"ABUH_SP_0006","UH243_33"		PDT000046729.3	2015-08-07T16:01:31Z	USA	bodily fluid	clinical	PDS000074246.29	0	12	SAMN03084731	GCA_000810525.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH243_56	"ABUH_SP_0014","UH243_56"		PDT000046730.3	2015-08-07T16:03:13Z	USA	bodily fluid	clinical	PDS000074246.29	3	15	SAMN03084739	GCA_000810545.3	aac(6')-Ib=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH243_57	"ABUH_SP_0015","UH243_57"		PDT000046731.3	2015-08-07T16:03:26Z	USA	bodily fluid	clinical	PDS000074246.29	3	14	SAMN03084740	GCA_000810565.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH134_167	"ABUH_SP_0047","UH134_167"		PDT000046734.3	2015-08-07T05:04:16Z	USA	bodily fluid	clinical	PDS000074246.29	5	20	SAMN03084772	GCA_000810645.3	aac(6')-Ib'=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH134_192	"ABUH_SP_0051","UH134_192"		PDT000046735.3	2015-08-07T05:05:43Z	USA	bodily fluid	clinical	PDS000074246.29	0	17	SAMN03084776	GCA_000810725.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH134_168	"ABUH_SP_0048","UH134_168"		PDT000046738.3	2015-08-07T05:03:02Z	USA	bodily fluid	clinical	PDS000074246.29	0	17	SAMN03084773	GCA_000810665.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH475_197	"ABUH_SP_0052","UH475_197"		PDT000046739.3	2015-08-10T21:03:42Z	USA	bodily fluid	clinical	PDS000074246.29	1	11	SAMN03084777	GCA_000810745.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH475_239	"ABUH_SP_0056","UH475_239"		PDT000046744.3	2015-08-10T21:03:56Z	USA	bodily fluid	clinical	PDS000074246.29	1	12	SAMN03084781	GCA_000810835.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH507_247	"ABUH_SP_0058","UH507_247"		PDT000046745.3	2015-08-10T21:04:44Z	USA	bodily fluid	clinical	PDS000074246.29	1	16	SAMN03084783	GCA_000810865.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH507_263	"ABUH_SP_0060","UH507_263"		PDT000046746.3	2015-08-10T21:05:02Z	USA	bodily fluid	clinical	PDS000074246.29	1	17	SAMN03084785	GCA_000810875.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH280_93	"ABUH_SP_0030","UH280_93"		PDT000046757.3	2015-08-07T16:34:27Z	USA	bodily fluid	clinical	PDS000074246.29	10	17	SAMN03084755	GCA_000811105.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH71_296	"ABUH_SP_0074","UH71_296"		PDT000046759.3	2015-08-10T23:31:49Z	USA	bodily fluid	clinical	PDS000074246.29	1	19	SAMN03084799	GCA_000811145.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(B)=COMPLETE	
Acinetobacter baumannii	UH280_99	"ABUH_SP_0033","UH280_99"		PDT000046761.3	2015-08-07T16:39:24Z	USA	bodily fluid	clinical	PDS000074246.29	0	19	SAMN03084758	GCA_000811185.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-66=COMPLETE,blaOXA=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH315_100	"ABUH_SP_0034","UH315_100"		PDT000046763.3	2015-08-07T17:07:09Z	USA	bodily fluid	clinical	PDS000074246.29	4	17	SAMN03084759	GCA_000811225.3	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH315_101	"ABUH_SP_0035","UH315_101"		PDT000046764.3	2015-08-07T17:06:37Z	USA	bodily fluid	clinical	PDS000074246.29	0	17	SAMN03084760	GCA_000811245.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH243_54	"ABUH_SP_0012","UH243_54"		PDT000046776.3	2015-08-07T16:03:11Z	USA	bodily fluid	clinical	PDS000074246.29	0	11	SAMN03084737	GCA_000811485.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH243_55	"ABUH_SP_0013","UH243_55"		PDT000046777.3	2015-08-07T16:03:12Z	USA	bodily fluid	clinical	PDS000074246.29	0	12	SAMN03084738	GCA_000811505.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	UH225_472	"ABUH_SP_0117","UH225_472"		PDT000046780.3	2015-08-07T15:05:27Z	USA	bodily fluid	clinical	PDS000074246.29	3	20	SAMN03084842	GCA_000811565.3	aac(3)-IIe=COMPLETE,aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH225_493	"ABUH_SP_0128","UH225_493"		PDT000046789.3	2015-08-07T15:06:19Z	USA	bodily fluid	clinical	PDS000074246.29	3	20	SAMN03084853	GCA_000811745.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH225_492	"ABUH_SP_0127","UH225_492"		PDT000046790.3	2015-08-07T15:05:41Z	USA	bodily fluid	clinical	PDS000074246.29	0	19	SAMN03084852	GCA_000811765.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	ORAB03	"GCID_ACINM_00003","ORAB03","SRS815458"		PDT000050840.2	2017-01-11T22:02:03Z	USA: Lincoln County, Oregon	excreted bodily substance	clinical	PDS000074246.29	0	18	SAMN03277099	GCA_000939395.2	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-30=COMPLETE,blaOXA-237=COMPLETE,blaOXA-66=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
